Class,Identifiers,Address,Type,Initial Value,Comment
VAR,ServoHome,,BOOL,,
VAR,ServoOK,,BOOL,,
VAR,ServoAlarm,,BOOL,,
VAR,ChuLiao_SVN,,BOOL,,
VAR,ChuLiao_SVF,,BOOL,,
VAR,ChuLiao_SVN_C,,BOOL,,
VAR,ChuLiao_SVF_C,,BOOL,,
VAR,ChuLiao_ZRN,,BOOL,,
VAR,ChuLiao_ZRN_C,,BOOL,,
VAR,ChuLiao_DRVA,,BOOL,,
VAR,ChuLiao_DRVA_C,,BOOL,,
VAR,ChuLiao_DRVI,,BOOL,,
VAR,ChuLiao_DRVI_C,,BOOL,,
VAR,ChuLiao_DRVA_S,,DWORD,,
VAR,ChuLiao_DRVA_D,,DWORD,,
VAR,ChuLiao_DRVI_S,,DWORD,,
VAR,ChuLiao_DRVI_D,,DWORD,,
VAR,RuLiao_SVN,,BOOL,,
VAR,RuLiao_SVF,,BOOL,,
VAR,RuLiao_SVN_C,,BOOL,,
VAR,RuLiao_SVF_C,,BOOL,,
VAR,RuLiao_ZRN,,BOOL,,
VAR,RuLiao_ZRN_C,,BOOL,,
VAR,RuLiao_DRVA,,BOOL,,
VAR,RuLiao_DRVA_C,,BOOL,,
VAR,RuLiao_DRVI,,BOOL,,
VAR,RuLiao_DRVI_C,,BOOL,,
VAR,RuLiao_DRVA_S,,DWORD,,
VAR,RuLiao_DRVA_D,,DWORD,,
VAR,RuLiao_DRVI_S,,DWORD,,
VAR,RuLiao_DRVI_D,,DWORD,,
VAR,FanZhuan_SVN,,BOOL,,
VAR,FanZhuan_SVF,,BOOL,,
VAR,FanZhuan_SVN_C,,BOOL,,
VAR,FanZhuan_SVF_C,,BOOL,,
VAR,FanZhuan_ZRN,,BOOL,,
VAR,FanZhuan_ZRN_C,,BOOL,,
VAR,FanZhuan_DRVA,,BOOL,,
VAR,FanZhuan_DRVA_C,,BOOL,,
VAR,FanZhuan_DRVI,,BOOL,,
VAR,FanZhuan_DRVI_C,,BOOL,,
VAR,FanZhuan_DRVA_S,,DWORD,,
VAR,FanZhuan_DRVA_D,,DWORD,,
VAR,FanZhuan_DRVI_S,,DWORD,,
VAR,FanZhuan_DRVI_D,,DWORD,,
VAR,TieJiao_SVN,,BOOL,,
VAR,TieJiao_SVF,,BOOL,,
VAR,TieJiao_SVN_C,,BOOL,,
VAR,TieJiao_SVF_C,,BOOL,,
VAR,TieJiao_ZRN,,BOOL,,
VAR,TieJiao_ZRN_C,,BOOL,,
VAR,TieJiao_DRVA,,BOOL,,
VAR,TieJiao_DRVA_C,,BOOL,,
VAR,TieJiao_DRVI,,BOOL,,
VAR,TieJiao_DRVI_C,,BOOL,,
VAR,TieJiao_DRVA_S,,DWORD,,
VAR,TieJiao_DRVA_D,,DWORD,,
VAR,TieJiao_DRVI_S,,DWORD,,
VAR,TieJiao_DRVI_D,,DWORD,,
VAR,BanChanPin_SVN,,BOOL,,
VAR,BanChanPin_SVF,,BOOL,,
VAR,BanChanPin_SVN_C,,BOOL,,
VAR,BanChanPin_SVF_C,,BOOL,,
VAR,BanChanPin_ZRN,,BOOL,,
VAR,BanChanPin_ZRN_C,,BOOL,,
VAR,BanChanPin_DRVA,,BOOL,,
VAR,BanChanPin_DRVA_C,,BOOL,,
VAR,BanChanPin_DRVI,,BOOL,,
VAR,BanChanPin_DRVI_C,,BOOL,,
VAR,BanChanPin_DRVA_S,,DWORD,,
VAR,BanChanPin_DRVA_D,,DWORD,,
VAR,BanChanPin_DRVI_S,,DWORD,,
VAR,BanChanPin_DRVI_D,,DWORD,,
VAR,XuanZhuan_SVN,,BOOL,,
VAR,XuanZhuan_SVF,,BOOL,,
VAR,XuanZhuan_SVN_C,,BOOL,,
VAR,XuanZhuan_SVF_C,,BOOL,,
VAR,XuanZhuan_ZRN,,BOOL,,
VAR,XuanZhuan_ZRN_C,,BOOL,,
VAR,XuanZhuan_DRVA,,BOOL,,
VAR,XuanZhuan_DRVA_C,,BOOL,,
VAR,XuanZhuan_DRVI,,BOOL,,
VAR,XuanZhuan_DRVI_C,,BOOL,,
VAR,XuanZhuan_DRVA_S,,DWORD,,
VAR,XuanZhuan_DRVA_D,,DWORD,,
VAR,XuanZhuan_DRVI_S,,DWORD,,
VAR,XuanZhuan_DRVI_D,,DWORD,,
VAR,EMG_STOP,,BOOL,,
VAR,Pause,,BOOL,,
VAR,ChuLiao_ZRN_Finish,,BOOL,,
VAR,RuLiao_ZRN_Finish,,BOOL,,
VAR,FanZhuan_ZRN_Finish,,BOOL,,
VAR,TieJiao_ZRN_Finish,,BOOL,,
VAR,BanChanPin_ZRN_Finish,,BOOL,,
VAR,XuanZhuan_ZRN_Finish,,BOOL,,
